ticker,company,lat,lon,lat_round,lon_round
LLY,Lilly (Eli),39.7683331,-86.1583502,39.77,-86.16
LYV,Live Nation Entertainment,34.0696501,-118.3963062,34.07,-118.4
LKQ,LKQ Corporation,41.8755616,-87.6244212,41.88,-87.62
LMT,Lockheed Martin,38.9812726,-77.1233587,38.98,-77.12
L,Loews Corporation,40.7127281,-74.0060152,40.71,-74.01
LOW,Lowe's,35.5848596,-80.8100724,35.58,-80.81
LULU,Lululemon Athletica,46.838675,-100.7904921,46.84,-100.79
LYB,LyondellBasell,51.8879268,4.4906558,51.89,4.49
MTB,M&T Bank,42.8867166,-78.8783922,42.89,-78.88
MPC,Marathon Petroleum,41.0413873,-83.6503982,41.04,-83.65
MKTX,MarketAxess,40.7127281,-74.0060152,40.71,-74.01
MAR,Marriott International,38.9812726,-77.1233587,38.98,-77.12
MMC,Marsh McLennan,40.7127281,-74.0060152,40.71,-74.01
MLM,Martin Marietta Materials,35.7803977,-78.6390989,35.78,-78.64
MAS,Masco,42.36837,-83.3527097,42.37,-83.35
MA,Mastercard,40.9689871,-73.71263,40.97,-73.71
MTCH,Match Group,32.7762719,-96.7968559,32.78,-96.8
MKC,McCormick & Company,39.4962709,-76.6542571,39.5,-76.65
MCD,McDonald's,41.8755616,-87.6244212,41.88,-87.62
MCK,McKesson Corporation,32.8295183,-96.9442177,32.83,-96.94
MDT,Medtronic,38.4168505,-86.9969385,38.42,-87.0
MRK,Merck & Co.,40.6771374,-74.2870715,40.68,-74.29
META,Meta Platforms,37.4519671,-122.177992,37.45,-122.18
MET,MetLife,40.7127281,-74.0060152,40.71,-74.01
MTD,Mettler Toledo,39.9622601,-83.0007065,39.96,-83.0
MGM,MGM Resorts,36.0724299,-115.1474759,36.07,-115.15
MCHP,Microchip Technology,33.3062031,-111.841185,33.31,-111.84
MU,Micron Technology,43.6166163,-116.200886,43.62,-116.2
MSFT,Microsoft,47.6694141,-122.1238767,47.67,-122.12
