ticker,firm,county_fips,county_name,state,lat,lon
DHI,D. R. Horton,1023,Edmonson,Kentucky,32.7355816,-97.1071186
DTE,DTE Energy,1071,McCracken,Kentucky,42.3315509,-83.0466403
DUK,Duke Energy,1019,Clinton,Kentucky,35.2272086,-80.8430827
EMN,Eastman Chemical Company,1049,Jessamine,Kentucky,36.550238,-82.5594293
ETN,Eaton Corporation,1077,Metcalfe,Kentucky,38.4168505,-86.9969385
EBAY,eBay Inc.,2016,Lamoure,North Dakota,37.3361663,-121.890591
ECL,Ecolab,1077,Metcalfe,Kentucky,44.9497487,-93.0931028
EIX,Edison International,2016,Lamoure,North Dakota,34.0676169,-118.0879763
EW,Edwards Lifesciences,2016,Lamoure,North Dakota,33.6856969,-117.825981
ELV,Elevance Health,1071,McCracken,Kentucky,39.7683331,-86.1583502
EMR,Emerson Electric,1077,Metcalfe,Kentucky,38.744707,-90.3038975
ENPH,Enphase Energy,2016,Lamoure,North Dakota,37.5482697,-121.988571
ETR,Entergy,1097,Scott,Kentucky,29.9559145,-90.0730259
EOG,EOG Resources,1097,Scott,Kentucky,29.7589382,-95.3676974
EPAM,EPAM Systems,1019,Clinton,Kentucky,40.2294046,-74.9365329
EQT,EQT Corporation,1071,McCracken,Kentucky,40.4416941,-79.9900861
EFX,Equifax,1029,Franklin,Kentucky,33.7544657,-84.3898151
EQIX,Equinix,2016,Lamoure,North Dakota,37.4863239,-122.232523
EQR,Equity Residential,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
ERIE,Erie Indemnity,1071,McCracken,Kentucky,42.1294712,-80.0852695
ESS,Essex Property Trust,2016,Lamoure,North Dakota,37.496904,-122.3330573
EL,Estée Lauder Companies (The),1019,Clinton,Kentucky,40.7127281,-74.0060152
EG,Everest Group,1019,Clinton,Kentucky,35.9983557,-80.4341153
EVRG,Evergy,1033,Grant,Kentucky,39.100105,-94.5781416
ES,Eversource Energy,1019,Clinton,Kentucky,41.764582,-72.6908547
EXC,Exelon,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
EXE,Expand Energy,1075,Menifee,Kentucky,35.4729886,-97.5170536
EXPE,Expedia Group,2130,Warren,Ohio,47.6038321,-122.330062
EXPD,Expeditors International,2130,Warren,Ohio,47.6038321,-122.330062
EXR,Extra Space Storage,2016,Lamoure,North Dakota,40.7596198,-111.886797
XOM,ExxonMobil,1023,Edmonson,Kentucky,32.8295183,-96.9442177
FFIV,"F5, Inc.",2130,Warren,Ohio,47.6038321,-122.330062
FDS,FactSet,1019,Clinton,Kentucky,41.1175966,-73.4078968
FICO,Fair Isaac,2016,Lamoure,North Dakota,45.6794293,-111.044047
FAST,Fastenal,1077,Metcalfe,Kentucky,44.0500054,-91.6392294
FRT,Federal Realty Investment Trust,1019,Clinton,Kentucky,39.0817985,-77.1516844
FDX,FedEx,1033,Grant,Kentucky,35.1460249,-90.0517638
FIS,Fidelity National Information Services,1069,Martin,Kentucky,30.3321838,-81.655651
FITB,Fifth Third Bancorp,1071,McCracken,Kentucky,39.1014537,-84.5124602
FSLR,First Solar,2016,Lamoure,North Dakota,33.4255117,-111.940016
FE,FirstEnergy,1071,McCracken,Kentucky,41.083064,-81.518485
FI,Fiserv,1077,Metcalfe,Kentucky,43.0615578,-88.1260678
F,Ford Motor Company,1071,McCracken,Kentucky,42.3222599,-83.1763145
FTNT,Fortinet,2016,Lamoure,North Dakota,37.3688301,-122.036349
FTV,Fortive,2130,Warren,Ohio,47.9793437,-122.2127011
FOXA,Fox Corporation (Class A),1019,Clinton,Kentucky,40.7127281,-74.0060152
FOX,Fox Corporation (Class B),1019,Clinton,Kentucky,40.7127281,-74.0060152
BEN,Franklin Resources,2016,Lamoure,North Dakota,37.496904,-122.3330573
FCX,Freeport-McMoRan,2016,Lamoure,North Dakota,33.4484367,-112.074141
IT,Gartner,1019,Clinton,Kentucky,41.0534302,-73.5387341
GE,GE Aerospace,1071,McCracken,Kentucky,39.2561691,-84.417997
GEHC,GE HealthCare,1077,Metcalfe,Kentucky,41.8755616,-87.6244212
